SentenceID, Country, Relation, Confidence Score
2009436 , Israel, FP.CPI.TOTL.ZG, 99.8829%,
2009436 , Israel, IT.NET.USER.P2, 83.0277%,
2009436 , Israel, NY.GDP.MKTP.CD, 99.694%,
2079999 , Haiti, NY.GDP.MKTP.CD, 54.8388%,
2099012 , Pakistan, NY.GDP.MKTP.CD, 92.8669%,
2116124 , Singapore, NY.GDP.MKTP.CD, 66.0027%,
2118834 , China, BX.GSR.MRCH.CD, 100%,
2118834 , China, NY.GDP.MKTP.CD, 100%,
2164343 , Canada, IT.NET.USER.P2, 95.7123%,
2182716 , China, FP.CPI.TOTL.ZG, 91.3121%,
2182716 , China, IT.NET.USER.P2, 79.8658%,
2185244 , Hungary, FP.CPI.TOTL.ZG, 70.4521%,
2186755 , Afghanistan, EN.ATM.CO2E.KT, 64.0491%,
2186755 , Afghanistan, NY.GDP.MKTP.CD, 98.8801%,
2186755 , Afghanistan, SP.DYN.LE00.IN, 99.8429%,
2186755 , Afghanistan, EN.ATM.CO2E.KT, 93.6318%,
2195967 , Afghanistan, EP.PMP.DESL.CD, 100%,
2195967 , Afghanistan, EN.ATM.CO2E.KT, 95.89%,
2195967 , Afghanistan, NY.GDP.MKTP.CD, 97.0269%,
2195967 , Afghanistan, SP.DYN.LE00.IN, 98.07%,
2205376 , Belgium, AG.LND.TOTL.K2, 85.6313%,
2225954 , Indonesia, FP.CPI.TOTL.ZG, 82.6703%,
2225954 , Indonesia, SP.POP.TOTL, 97.2724%,
2233413 , Togo, SP.POP.TOTL, 99.4576%,
2235556 , China, EN.ATM.CO2E.KT, 52.3255%,
2239574 , Indonesia, SP.POP.TOTL, 99.47%,
2268301 , Jamaica, IT.NET.USER.P2, 62.6089%,
2268301 , Jamaica, NY.GDP.MKTP.CD, 70.5541%,
2297334 , Germany, BN.KLT.DINV.CD, 100%,
2297334 , Germany, BX.GSR.MRCH.CD, 100%,
2297334 , Germany, NY.GDP.MKTP.CD, 100%,
2299994 , Portugal, NY.GDP.MKTP.CD, 77.8864%,
2306220 , Germany, IT.NET.USER.P2, 94.7864%,
2306220 , Germany, BN.KLT.DINV.CD, 83.5271%,
2306220 , Germany, BX.GSR.MRCH.CD, 83.5271%,
2306220 , Germany, NY.GDP.MKTP.CD, 83.5271%,
2306385 , Israel, FP.CPI.TOTL.ZG, 99.8829%,
2306385 , Israel, IT.NET.USER.P2, 83.0277%,
2306385 , Israel, SP.POP.TOTL, 99.7131%,
2312091 , Canada, FP.CPI.TOTL.ZG, 53.819%,
2317053 , Australia, IT.NET.USER.P2, 53.8337%,
2317053 , Australia, IT.NET.USER.P2, 84.6877%,
2317053 , Singapore, NY.GDP.MKTP.CD, 66.0027%,
2356527 , China, SP.POP.TOTL, 99.7562%,
2394515 , China, EN.ATM.CO2E.KT, 93.7402%,
2404777 , Afghanistan, SP.POP.TOTL, 96.8199%,
2457332 , Colombia, EP.PMP.DESL.CD, 100%,
2457332 , Colombia, SP.POP.TOTL, 98.308%,
2466642 , Argentina, IT.NET.USER.P2, 98.65%,
2481087 , Italy, IT.NET.USER.P2, 79.2071%,
2481087 , Italy, FP.CPI.TOTL.ZG, 66.9663%,
2482831 , Romania, FP.CPI.TOTL.ZG, 68.0135%,
2482831 , Romania, IT.NET.USER.P2, 99.8623%,
2482831 , Romania, SP.POP.TOTL, 99.8541%,
2521472 , Israel, SP.POP.TOTL, 98.0532%,
2534384 , Cambodia, NY.GDP.MKTP.CD, 88.1374%,
2534384 , Cambodia, SP.DYN.LE00.IN, 95.2029%,
2534384 , Cambodia, EN.ATM.CO2E.KT, 98.2079%,
2534384 , Cambodia, NY.GDP.MKTP.CD, 69.3676%,
2552348 , Australia, FP.CPI.TOTL.ZG, 96.1787%,
2552618 , Thailand, FP.CPI.TOTL.ZG, 100%,
2552618 , Thailand, IT.NET.USER.P2, 100%,
2552618 , Thailand, NY.GDP.MKTP.CD, 94.4938%,
2564223 , India, BX.GSR.MRCH.CD, 100%,
2564223 , India, NY.GDP.MKTP.CD, 100%,
2609258 , Afghanistan, IT.NET.USER.P2, 100%,
2609258 , Afghanistan, FP.CPI.TOTL.ZG, 83.8755%,
2611509 , Iceland, BX.GSR.MRCH.CD, 97.0466%,
2611509 , Iceland, NY.GDP.MKTP.CD, 74.6769%,
2619357 , Sweden, SP.POP.TOTL, 99.9845%,
2623971 , China, SP.POP.TOTL, 99.7562%,
2639408 , Singapore, EP.PMP.DESL.CD, 51.3924%,
2639408 , Singapore, FP.CPI.TOTL.ZG, 99.6473%,
2639408 , Singapore, SP.POP.TOTL, 99.9873%,
2700798 , Greece, NY.GDP.MKTP.CD, 99.5404%,
2700798 , Greece, NY.GDP.MKTP.CD, 86.9843%,
2721574 , Poland, FP.CPI.TOTL.ZG, 90.0113%,
2721574 , Poland, FP.CPI.TOTL.ZG, 92.7555%,
2863572 , Brazil, IT.NET.USER.P2, 98.234%,
